low_bound_RSNP	upper_bound_RSNP	wind_size_RSNP	mid_wind_RSNP	pca_asse1_SNPrange	pca_asse2_SNPrange	Nb_SNP_range	chr
262	1807290	1807028	903776	0.217546193668898	0.104343103260851	1001	SUPER_14
1807290	4760811	2953521	3284050.5	0.188693156363044	0.125835761944538	1001	SUPER_14
4760811	5985253	1224442	5373032	0.247964949807631	0.132838301077852	1001	SUPER_14
5985253	6103705	118452	6044479	0.555295010598914	0.130854362037222	1001	SUPER_14
6103705	6231361	127656	6167533	0.55910205562224	0.0669119707306872	1001	SUPER_14
6231361	6704284	472923	6467822.5	0.438163014959781	0.0602267173363445	1001	SUPER_14
6704284	8005183	1300899	7354733.5	0.160323697475268	0.113236189626666	1001	SUPER_14
8005183	8983964	978781	8494573.5	0.149795289680097	0.140565810974752	1001	SUPER_14
8983964	9343042	359078	9163503	0.192301155261519	0.134684173095139	1001	SUPER_14
9343042	12105902	2762860	10724472	0.192690572990574	0.113736275952605	1001	SUPER_14
12105902	13126493	1020591	12616197.5	0.231455434705222	0.0995602005181866	1001	SUPER_14
13126493	13594820	468327	13360656.5	0.233532364395042	0.149982070550563	1001	SUPER_14
13594820	16085398	2490578	14840109	0.208606462925068	0.107743183805403	1001	SUPER_14
16085398	18236635	2151237	17161016.5	0.168657799414269	0.127028683789661	1001	SUPER_14
18236635	20616986	2380351	19426810.5	0.15919408146301	0.103143387670079	1001	SUPER_14
20616986	22893953	2276967	21755469.5	0.135951003925798	0.124169418940292	1001	SUPER_14
22893953	25488934	2594981	24191443.5	0.199773878860173	0.123695146030104	1001	SUPER_14
25488934	27716009	2227075	26602471.5	0.204925660730059	0.145521778298581	1001	SUPER_14
27716009	30468840	2752831	29092424.5	0.128144426019346	0.116126812547703	1001	SUPER_14
30468840	33179642	2710802	31824241	0.229649189407175	0.103812906775744	1001	SUPER_14
33179642	36193075	3013433	34686358.5	0.182539862630178	0.139581408067688	1001	SUPER_14
36193075	38841144	2648069	37517109.5	0.187699910615795	0.144929854594064	1001	SUPER_14
38841144	40826830	1985686	39833987	0.188028759184004	0.129941247221282	1001	SUPER_14
40826830	43977008	3150178	42401919	0.166334311981221	0.124518859732003	1001	SUPER_14
43977008	47071990	3094982	45524499	0.159373664875728	0.14450313134933	1001	SUPER_14
47071990	50627795	3555805	48849892.5	0.192808113166085	0.134345327485553	1001	SUPER_14
50627795	53814837	3187042	52221316	0.231323558003838	0.163805725057932	1001	SUPER_14
53814837	55917873	2103036	54866355	0.274771653560882	0.125332107748294	1001	SUPER_14
55917873	58649659	2731786	57283766	0.194396524655705	0.133863560873597	1001	SUPER_14
58649659	61142459	2492800	59896059	0.166460390028224	0.140506547186118	1001	SUPER_14
61142459	64385223	3242764	62763841	0.174314112381349	0.154991787631524	1001	SUPER_14
64385223	67955367	3570144	66170295	0.217212145072355	0.142580958292805	1001	SUPER_14
67955367	71034260	3078893	69494813.5	0.227069323984743	0.177488384740868	1001	SUPER_14
71034260	73036668	2002408	72035464	0.282123464845042	0.143540876258709	1001	SUPER_14
73036668	77177725	4141057	75107196.5	0.297074155291918	0.175732334468934	1001	SUPER_14
77177725	80028032	2850307	78602878.5	0.275988623649961	0.186999594740155	1001	SUPER_14
80028032	83149933	3121901	81588982.5	0.251678770745177	0.13808542758497	1001	SUPER_14
83149933	85697976	2548043	84423954.5	0.268459434127715	0.179283280382498	1001	SUPER_14
85697976	91017431	5319455	88357703.5	0.341412581646006	0.160430924072442	1001	SUPER_14
91017431	91424903	407472	91221167	0.138095025851403	0.0915825709488298	1001	SUPER_14
91424903	92111571	686668	91768237	0.258655512947068	0.101493045663279	1001	SUPER_14
92111571	96941011	4829440	94526291	0.263426215795194	0.118523886588026	1001	SUPER_14
96941011	101271291	4330280	99106151	0.304311898766539	0.164980931236796	1001	SUPER_14
101271291	105813709	4542418	103542500	0.2074802747477	0.158434019907192	1001	SUPER_14
105813709	108551915	2738206	107182812	0.381221636018449	0.0993998448265708	1001	SUPER_14
108551915	110186695	1634780	109369305	0.201223911757821	0.182953501377564	1001	SUPER_14
110186695	112540085	2353390	111363390	0.293303944004432	0.190414362001243	1001	SUPER_14
112540085	114812379	2272294	113676232	0.171369797161992	0.122832323336895	1001	SUPER_14
114812379	117723385	2911006	116267882	0.256708565439035	0.157709578257417	1001	SUPER_14
117723385	119927709	2204324	118825547	0.185785990589975	0.134209663334571	1001	SUPER_14
119927709	121911777	1984068	120919743	0.135590774529848	0.129984630960579	1001	SUPER_14
121911777	123254261	1342484	122583019	0.217071877920639	0.13273362650741	1001	SUPER_14
123254261	125713733	2459472	124483997	0.256884657553077	0.134155983331311	1001	SUPER_14
125713733	128180136	2466403	126946934.5	0.193496035880246	0.112132741228965	1001	SUPER_14
128180136	130783481	2603345	129481808.5	0.197728865523678	0.0999461181405455	1001	SUPER_14
130783481	132809603	2026122	131796542	0.170596384864838	0.125974525545273	1001	SUPER_14
132809603	134632500	1822897	133721051.5	0.150469270786449	0.134759611615317	1001	SUPER_14
134632500	136793675	2161175	135713087.5	0.179691993112473	0.110104691598307	1001	SUPER_14
136793675	138586394	1792719	137690034.5	0.179637697579688	0.13053299463469	1001	SUPER_14
138586394	140543157	1956763	139564775.5	0.132570748230013	0.118673818556678	1001	SUPER_14
140543157	142655756	2112599	141599456.5	0.157551447523037	0.146346300414574	1001	SUPER_14
142655756	144410288	1754532	143533022	0.156270994527199	0.115309290503265	1001	SUPER_14
144410288	145816336	1406048	145113312	0.167042419099824	0.127559299829684	1001	SUPER_14
145816336	147808590	1992254	146812463	0.155056352178345	0.127038461544996	1001	SUPER_14
