"low_bound_SFS" "upper_bound_SFS" "mid_wind_SFS" "Nmb_Positions_SFS" "Nb_SNP_SFS" "dist_eucli"
"temp_spectre" 0 1e+06 500000.5 96 96 3.28204131060395
"temp_spectre.1" 5e+05 1500000 1000000.5 70 70 9.69912387474284
"temp_spectre.2" 1e+06 2e+06 1500000.5 64 64 4.00623905146337
"temp_spectre.3" 1500000 2500000 2000000.5 52 52 2.58387497060807
"temp_spectre.4" 2e+06 3e+06 2500000.5 44 44 3.72029339821293
"temp_spectre.5" 2500000 3500000 3000000.5 46 46 3.79554995504959
"temp_spectre.6" 3e+06 4e+06 3500000.5 45 45 3.61865512460732
"temp_spectre.7" 3500000 4500000 4000000.5 41 41 4.40990157543952
"temp_spectre.8" 4e+06 5e+06 4500000.5 55 55 1.729900084491
"temp_spectre.9" 4500000 5500000 5000000.5 104 104 1.30666220666139
"temp_spectre.10" 5e+06 6e+06 5500000.5 198 198 1.74393831834072
"temp_spectre.11" 5500000 6500000 6000000.5 398 398 2.05083362801954
"temp_spectre.12" 6e+06 7e+06 6500000.5 313 313 2.19930303466539
"temp_spectre.13" 6500000 7500000 7000000.5 76 76 1.60551639978154
"temp_spectre.14" 7e+06 8e+06 7500000.5 97 97 1.83443596692296
"temp_spectre.15" 7500000 8500000 8000000.5 102 102 2.48662143127024
"temp_spectre.16" 8e+06 9e+06 8500000.5 283 283 0.930143728428793
"temp_spectre.17" 8500000 9500000 9000000.5 394 394 0.927537471661361
"temp_spectre.18" 9e+06 1e+07 9500000.5 168 168 1.19036988693091
"temp_spectre.19" 9500000 10500000 10000000.5 46 46 3.53148955913012
"temp_spectre.20" 1e+07 1.1e+07 10500000.5 72 72 1.89320698773245
"temp_spectre.21" 10500000 11500000 11000000.5 83 83 2.47269932878991
"temp_spectre.22" 1.1e+07 1.2e+07 11500000.5 72 72 2.61592764366374
"temp_spectre.23" 11500000 12500000 12000000.5 90 90 1.96070232452714
