per_plot V2 V3 V4 V5
temp_spectre 500000.5 42 10 6 9
temp_spectre.1 1000000.5 56 22 7 3
temp_spectre.2 1500000.5 80 19 5 3
temp_spectre.3 2000000.5 77 9 5 12
temp_spectre.4 2500000.5 79 13 14 13
temp_spectre.5 3000000.5 86 17 21 6
temp_spectre.6 3500000.5 82 19 24 4
temp_spectre.7 4000000.5 64 18 15 3
temp_spectre.8 4500000.5 56 16 3 7
temp_spectre.9 5000000.5 71 18 5 8
temp_spectre.10 5500000.5 68 14 10 6
temp_spectre.11 6000000.5 68 14 16 4
temp_spectre.12 6500000.5 66 18 11 2
temp_spectre.13 7000000.5 76 23 12 5
temp_spectre.14 7500000.5 89 23 26 7
temp_spectre.15 8000000.5 92 22 24 14
temp_spectre.16 8500000.5 84 25 12 12
temp_spectre.17 9000000.5 61 15 4 3
temp_spectre.18 9500000.5 73 8 5 7
temp_spectre.19 10000000.5 101 21 8 11
temp_spectre.20 10500000.5 105 29 12 9
temp_spectre.21 11000000.5 94 20 20 7
temp_spectre.22 11500000.5 108 21 27 12
temp_spectre.23 12000000.5 115 22 22 14
temp_spectre.24 12500000.5 67 10 7 7
temp_spectre.25 13000000.5 66 14 10 6
temp_spectre.26 13500000.5 108 20 26 8
temp_spectre.27 14000000.5 99 17 24 5
temp_spectre.28 14500000.5 86 14 13 2
temp_spectre.29 15000000.5 85 14 5 1
temp_spectre.30 15500000.5 83 16 13 1
temp_spectre.31 16000000.5 80 17 17 6
temp_spectre.32 16500000.5 61 18 4 6
temp_spectre.33 17000000.5 79 20 5 9
temp_spectre.34 17500000.5 91 14 16 10
temp_spectre.35 18000000.5 89 8 15 2
temp_spectre.36 18500000.5 80 14 6 1
temp_spectre.37 19000000.5 87 16 10 1
temp_spectre.38 19500000.5 117 23 18 0
temp_spectre.39 20000000.5 105 28 20 1
temp_spectre.40 20500000.5 125 24 28 1
temp_spectre.41 21000000.5 144 32 27 2
temp_spectre.42 21500000.5 123 27 20 12
temp_spectre.43 22000000.5 84 10 17 12
temp_spectre.44 22500000.5 55 8 7 6
temp_spectre.45 23000000.5 88 14 10 5
temp_spectre.46 23500000.5 103 36 14 3
temp_spectre.47 24000000.5 83 36 6 5
temp_spectre.48 24500000.5 75 18 14 5
temp_spectre.49 25000000.5 73 9 16 3
temp_spectre.50 25500000.5 61 3 6 1
temp_spectre.51 26000000.5 149 41 22 21
temp_spectre.52 26500000.5 150 48 29 23
temp_spectre.53 27000000.5 62 15 22 6
temp_spectre.54 27500000.5 66 13 19 7
temp_spectre.55 28000000.5 68 8 7 3
temp_spectre.56 28500000.5 70 4 6 0
temp_spectre.57 29000000.5 84 4 11 1
temp_spectre.58 29500000.5 93 7 12 1
temp_spectre.59 30000000.5 62 6 14 0
temp_spectre.60 30500000.5 54 6 11 3
temp_spectre.61 31000000.5 80 10 17 6
temp_spectre.62 31500000.5 74 14 14 5
temp_spectre.63 32000000.5 103 33 4 6
temp_spectre.64 32500000.5 118 30 4 4
temp_spectre.65 33000000.5 59 11 2 2
temp_spectre.66 33500000.5 49 12 4 3
temp_spectre.67 34000000.5 50 12 6 3
temp_spectre.68 34500000.5 63 14 10 7
temp_spectre.69 35000000.5 71 19 10 7
temp_spectre.70 35500000.5 74 13 9 2
temp_spectre.71 36000000.5 92 4 9 5
temp_spectre.72 36500000.5 87 7 3 7
temp_spectre.73 37000000.5 67 13 5 2
temp_spectre.74 37500000.5 51 9 10 3
temp_spectre.75 38000000.5 54 9 12 4
temp_spectre.76 38500000.5 63 13 13 2
temp_spectre.77 39000000.5 55 11 8 2
temp_spectre.78 39500000.5 30 9 3 1
temp_spectre.79 40000000.5 217 60 73 4
temp_spectre.80 40500000.5 286 74 78 4
temp_spectre.81 41000000.5 116 25 11 3
temp_spectre.82 41500000.5 96 9 29 4
