low_bound_theta upper_bound_theta mid_wind_theta Nmb_Positions_theta Nb_SNP_theta pop1 pop2 pop3 pop4 pop1+pop2+pop3+pop4
temp_spectre 0 1e+06 500000.5 96 96 0.165046296296296 0.230587121212121 0.207760989010989 0.243055555555556 0.220927700348432
temp_spectre.1 5e+05 1500000 1000000.5 70 70 0.212698412698413 0.241341991341991 0.190737833594976 0.231428571428571 0.239206902273104
temp_spectre.2 1e+06 2e+06 1500000.5 64 64 0.245486111111111 0.304214015151515 0.281078296703297 0.244791666666667 0.29006968641115
temp_spectre.3 1500000 2500000 2000000.5 52 52 0.225213675213675 0.313519813519814 0.300084530853762 0.188461538461538 0.281202537300098
temp_spectre.4 2e+06 3e+06 2500000.5 44 44 0.221717171717172 0.212465564738292 0.215284715284715 0.181818181818182 0.223946784922395
temp_spectre.5 2500000 3500000 3000000.5 46 46 0.209661835748792 0.233530961791831 0.277114190157668 0.218840579710145 0.267737211533606
temp_spectre.6 3e+06 4e+06 3500000.5 45 45 0.219259259259259 0.244781144781145 0.261538461538462 0.299259259259259 0.266666666666667
temp_spectre.7 3500000 4500000 4000000.5 41 41 0.245528455284553 0.225794530672579 0.196462074510855 0.308943089430894 0.234922523441262
temp_spectre.8 4e+06 5e+06 4500000.5 55 55 0.23030303030303 0.200826446280992 0.201198801198801 0.193939393939394 0.208636891563721
temp_spectre.9 4500000 5500000 5000000.5 104 104 0.196794871794872 0.215909090909091 0.204881656804734 0.182051282051282 0.201130170642366
temp_spectre.10 5e+06 6e+06 5500000.5 198 198 0.209090909090909 0.244337312519131 0.222388722388722 0.200673400673401 0.219506329262427
temp_spectre.11 5500000 6500000 6000000.5 398 398 0.203070910106086 0.239645195675346 0.209619526202441 0.171189279731993 0.206467879467022
temp_spectre.12 6e+06 7e+06 6500000.5 313 313 0.191622293219737 0.225094394423468 0.196397851349928 0.156762513312034 0.193700764027266
temp_spectre.13 6500000 7500000 7000000.5 76 76 0.189766081871345 0.186802232854864 0.187825332562175 0.156140350877193 0.191958554923895
temp_spectre.14 7e+06 8e+06 7500000.5 97 97 0.20893470790378 0.251796313651984 0.263509686190099 0.206185567010309 0.250871080139373
temp_spectre.15 7500000 8500000 8000000.5 102 102 0.230718954248366 0.286838978015449 0.261581555699203 0.245751633986928 0.273188950376899
temp_spectre.16 8e+06 9e+06 8500000.5 283 283 0.201491951315273 0.205750080308384 0.191201025123287 0.216018845700824 0.200490021053668
temp_spectre.17 8500000 9500000 9000000.5 394 394 0.212182741116751 0.192470389170897 0.196853907513806 0.213536379018613 0.198591532688351
temp_spectre.18 9e+06 1e+07 9500000.5 168 168 0.237830687830688 0.187950937950938 0.207875457875458 0.208730158730159 0.208907140091809
temp_spectre.19 9500000 10500000 10000000.5 46 46 0.242028985507246 0.1366930171278 0.21213569039656 0.155072463768116 0.213275766298036
temp_spectre.20 1e+07 1.1e+07 10500000.5 72 72 0.21820987654321 0.172558922558923 0.184676434676435 0.206481481481481 0.220867208672087
temp_spectre.21 10500000 11500000 11000000.5 83 83 0.170013386880857 0.222161372763782 0.20389249304912 0.273895582329317 0.236639939549137
temp_spectre.22 1.1e+07 1.2e+07 11500000.5 72 72 0.153703703703704 0.219486531986532 0.23046398046398 0.272222222222222 0.244079881275003
temp_spectre.23 11500000 12500000 12000000.5 90 90 0.179753086419753 0.211952861952862 0.183028083028083 0.195555555555556 0.207278358497871
temp_spectre.24 1.2e+07 1.3e+07 12500000.5 93 93 0.189008363201912 0.239654610622353 0.205719012170625 0.207885304659498 0.224832340489304
temp_spectre.25 12500000 13500000 13000000.5 252 252 0.186067019400353 0.264670514670515 0.229635443921158 0.171428571428571 0.223291484615526
temp_spectre.26 1.3e+07 1.4e+07 13500000.5 279 279 0.198725607327758 0.270283479960899 0.232147780534877 0.182078853046595 0.226168621133216
temp_spectre.27 13500000 14500000 14000000.5 96 96 0.233101851851852 0.283301767676768 0.263621794871795 0.275 0.265449574138599
temp_spectre.28 1.4e+07 1.5e+07 14500000.5 31 31 0.2 0.294232649071359 0.269053527118043 0.331182795698925 0.27994455059758
temp_spectre.29 14500000 15500000 15000000.5 14 14 0.171428571428571 0.268398268398268 0.271585557299843 0.238095238095238 0.273104363696698
temp_spectre.30 1.5e+07 1.6e+07 15500000.5 58 58 0.167816091954023 0.264890282131661 0.25161045850701 0.182758620689655 0.260462974087869
temp_spectre.31 15500000 16500000 16000000.5 85 85 0.162875816993464 0.25632798573975 0.249644473173885 0.136470588235294 0.260709161713466
temp_spectre.32 1.6e+07 1.7e+07 16500000.5 63 63 0.155908289241623 0.244588744588745 0.223617652189081 0.134391534391534 0.245340412587799
temp_spectre.33 16500000 17500000 17000000.5 67 67 0.178441127694859 0.276345545002261 0.24192225684763 0.260696517412935 0.25934786000312
temp_spectre.34 1.7e+07 1.8e+07 17500000.5 84 84 0.179100529100529 0.248196248196248 0.243197278911565 0.20952380952381 0.239477904983131
temp_spectre.35 17500000 18500000 18000000.5 98 98 0.177551020408163 0.252164502164502 0.213164386633774 0.193877551020408 0.224892744554268
temp_spectre.36 1.8e+07 1.9e+07 18500000.5 88 88 0.187121212121212 0.260847107438017 0.226898101898102 0.249242424242424 0.242952169781438
temp_spectre.37 18500000 19500000 19000000.5 66 66 0.187878787878788 0.217860422405877 0.203296703296703 0.217171717171717 0.211575687185443
temp_spectre.38 1.9e+07 2e+07 19500000.5 71 71 0.1981220657277 0.219163465642339 0.173657328586906 0.157746478873239 0.199473262338257
temp_spectre.39 19500000 20500000 20000000.5 79 79 0.223347398030942 0.234944380514001 0.204896369453331 0.210970464135021 0.229112453873182
temp_spectre.40 2e+07 2.1e+07 20500000.5 88 88 0.220959595959596 0.248106060606061 0.206043956043956 0.207575757575758 0.228486960194277
temp_spectre.41 20500000 21500000 21000000.5 73 73 0.205783866057839 0.211706102117061 0.161372873701641 0.131506849315068 0.190794393266829
temp_spectre.42 2.1e+07 2.2e+07 21500000.5 57 57 0.158284600389864 0.129186602870813 0.123192596876807 0.12046783625731 0.143651812457974
temp_spectre.43 21500000 22500000 22000000.5 65 65 0.104957264957265 0.152447552447552 0.166018596787828 0.169230769230769 0.163745197891539
temp_spectre.44 2.2e+07 2.3e+07 22500000.5 86 86 0.162790697674419 0.229563072586328 0.192946588295426 0.203100775193798 0.207992329092726
temp_spectre.45 22500000 23500000 23000000.5 95 95 0.20046783625731 0.225677830940989 0.190167727009832 0.187368421052632 0.208680237178312
temp_spectre.46 2.3e+07 2.4e+07 23500000.5 72 72 0.19537037037037 0.224537037037037 0.212454212454212 0.144444444444444 0.214059878694025
temp_spectre.47 23500000 24500000 24000000.5 73 73 0.148249619482496 0.209630552096306 0.169652265542677 0.146118721461187 0.190858033824957
temp_spectre.48 2.4e+07 2.5e+07 24500000.5 70 70 0.147936507936508 0.20952380952381 0.163579277864992 0.155238095238095 0.19374481499917
temp_spectre.49 24500000 25500000 25000000.5 58 58 0.151724137931035 0.251567398119122 0.208222811671088 0.111494252873563 0.211081741359286
temp_spectre.50 2.5e+07 2.6e+07 25500000.5 67 67 0.144610281923715 0.202849389416554 0.173035919304576 0.12636815920398 0.180335257510358
temp_spectre.51 25500000 26500000 26000000.5 56 56 0.20515873015873 0.224837662337662 0.215266875981162 0.166666666666667 0.224261655881865
temp_spectre.52 2.6e+07 2.7e+07 26500000.5 63 63 0.202821869488536 0.251563251563252 0.227106227106227 0.235978835978836 0.245045443651715
temp_spectre.53 26500000 27500000 27000000.5 73 73 0.198477929984779 0.276255707762557 0.235134728285413 0.213698630136986 0.262405931300017
temp_spectre.54 2.7e+07 2.8e+07 27500000.5 77 77 0.213852813852814 0.265446674537584 0.218210361067504 0.0813852813852814 0.237190219768617
