per_plot V2 V3 V4 V5 V6 V7 V8 V9
temp_spectre 500000.5 42 12 2 8 1 3 0 3
temp_spectre.1 1000000.5 56 13 14 7 7 4 0 0
temp_spectre.2 1500000.5 80 14 19 7 18 4 0 5
temp_spectre.3 2000000.5 77 14 11 6 17 6 0 5
temp_spectre.4 2500000.5 79 12 10 10 10 12 0 2
temp_spectre.5 3000000.5 86 10 17 11 7 13 3 2
temp_spectre.6 3500000.5 82 10 21 10 3 8 9 1
temp_spectre.7 4000000.5 64 8 12 11 3 4 8 3
temp_spectre.8 4500000.5 56 11 9 9 5 4 4 2
temp_spectre.9 5000000.5 71 15 14 6 5 9 5 2
temp_spectre.10 5500000.5 68 11 15 4 5 9 5 2
temp_spectre.11 6000000.5 68 11 13 6 8 5 2 1
temp_spectre.12 6500000.5 66 9 7 8 8 3 0 11
temp_spectre.13 7000000.5 76 13 9 9 10 7 3 10
temp_spectre.14 7500000.5 89 20 14 7 11 9 12 2
temp_spectre.15 8000000.5 92 19 13 8 9 6 17 7
temp_spectre.16 8500000.5 84 16 16 8 11 4 9 8
temp_spectre.17 9000000.5 61 14 12 6 7 3 2 4
temp_spectre.18 9500000.5 73 18 9 7 4 2 8 2
temp_spectre.19 10000000.5 101 19 8 13 7 12 8 3
temp_spectre.20 10500000.5 105 17 5 11 6 18 5 2
temp_spectre.21 11000000.5 94 19 14 2 6 8 5 2
temp_spectre.22 11500000.5 108 21 41 4 4 8 2 2
temp_spectre.23 12000000.5 115 15 43 9 2 10 8 1
temp_spectre.24 12500000.5 67 9 14 7 2 4 7 3
temp_spectre.25 13000000.5 66 15 7 9 5 3 8 3
temp_spectre.26 13500000.5 108 18 11 11 11 10 13 6
temp_spectre.27 14000000.5 99 19 10 6 7 13 5 5
temp_spectre.28 14500000.5 86 20 12 6 3 6 3 0
temp_spectre.29 15000000.5 85 20 12 10 5 2 3 0
temp_spectre.30 15500000.5 83 27 8 13 8 5 2 1
temp_spectre.31 16000000.5 80 25 10 8 6 6 7 1
temp_spectre.32 16500000.5 61 15 9 2 1 2 5 3
temp_spectre.33 17000000.5 79 18 14 8 1 5 6 4
temp_spectre.34 17500000.5 91 29 16 9 3 6 11 3
temp_spectre.35 18000000.5 89 26 10 6 14 3 6 3
temp_spectre.36 18500000.5 80 13 12 8 13 2 3 1
temp_spectre.37 19000000.5 87 23 9 7 11 2 4 1
temp_spectre.38 19500000.5 117 30 8 8 14 6 5 2
temp_spectre.39 20000000.5 105 20 9 6 11 10 4 2
temp_spectre.40 20500000.5 125 26 9 12 16 8 6 5
temp_spectre.41 21000000.5 144 27 15 13 15 4 11 5
temp_spectre.42 21500000.5 123 27 15 7 15 3 8 7
temp_spectre.43 22000000.5 84 20 7 6 10 2 7 6
temp_spectre.44 22500000.5 55 4 2 3 3 4 5 1
temp_spectre.45 23000000.5 88 9 4 3 7 7 0 1
temp_spectre.46 23500000.5 103 11 6 6 8 13 1 2
temp_spectre.47 24000000.5 83 10 7 8 5 10 4 2
temp_spectre.48 24500000.5 75 14 10 5 8 4 7 4
temp_spectre.49 25000000.5 73 18 19 2 8 3 4 4
temp_spectre.50 25500000.5 61 14 15 2 7 2 0 1
temp_spectre.51 26000000.5 149 32 15 24 6 6 5 18
temp_spectre.52 26500000.5 150 35 13 23 1 4 6 19
temp_spectre.53 27000000.5 62 14 4 2 3 5 4 2
temp_spectre.54 27500000.5 66 9 7 9 7 7 9 1
temp_spectre.55 28000000.5 68 15 8 12 6 2 9 1
temp_spectre.56 28500000.5 70 19 11 10 5 2 3 0
temp_spectre.57 29000000.5 84 11 10 9 5 2 6 0
